# maxrange N1 N2 finalcard time(s)
4289383 1922435 254641 2894111 0.217878 
14636915 11038098 14404715 13744264 0.992194 
19885386 19158840 19840455 19862324 1.404190 
9641421 3211736 691087 5454163 0.453256 
3368690 958429 102933 1526460 0.111934 
7513926 5159934 28596 6753191 0.477796 
4089172 3099040 2291835 3810513 0.271596 
1595368 1154855 768253 1443563 0.095704 
16465782 4800866 15270350 8144790 0.713765 
13665123 13414879 4088953 13661096 0.961988 
1513929 404292 29721 685379 0.050431 
15723058 1227023 9561049 2360259 0.298362 
19961393 13033584 9371828 17621388 1.239908 
16478042 10669373 5573173 13871614 1.031224 
19484421 5071661 4396733 8596403 0.738906 
16898537 10924424 13364032 14812450 1.059137 
9798315 614850 2760188 1197607 0.143224 
4803526 4476381 2425284 4777436 0.336295 
11759956 8364645 8447346 10754713 0.786497 
2999170 2178406 534631 2752983 0.190645 
11702305 1410635 6596759 2696154 0.299743 
7336327 426830 7323166 826599 0.088227 
5750846 5132311 2249727 5690252 0.399292 
13925857 13621707 798753 13921101 0.985908 
19819582 19142345 16940614 19798369 1.403772 
8233367 1246276 5183900 2270453 0.235627 
14344043 79471 14078701 158465 0.012543 
16426808 8789220 864258 12404512 0.914411 
9393584 3239035 2211515 5291692 0.440319 
12392754 12267427 9195522 12391322 0.877108 
4095060 2849036 1216368 3728667 0.267037 
3947739 2445034 2924602 3286875 0.239645 
9698586 4861608 6881753 7543531 0.527284 
16140795 11538310 6911264 15340499 1.078937 
15960378 13850285 8741997 15653628 1.121201 
16710097 8557567 10475654 12728376 0.938481 
3570492 2654428 3290228 3296769 0.233344 
19997301 5625056 2778266 9857942 0.860372 
13209441 6104175 9397142 9204969 0.674692 
4228444 2262379 1679352 3352844 0.237401 
10744729 229860 10654038 455359 0.053870 
14738097 3524579 10762878 6275174 0.565378 
2890675 14734 2544652 29291 0.002089 
11704567 7186042 2790828 9780452 0.733028 
4872353 806935 3379299 1411128 0.121412 
9455306 2009603 2559897 3658440 0.348779 
12805732 5950145 7043275 9181010 0.692021 
15530019 4956180 4831449 8343258 0.701401 
9959708 5867451 8746344 8586019 0.599969 
11518149 4939263 1746998 7712638 0.571102 
17142618 13718683 12981902 16677002 1.191638 
19493451 16220371 5832965 18983729 1.373675 
11192379 10894912 10806353 11183540 0.787490 
18888228 13100077 4363106 16871661 1.254157 
11165193 1476868 10205171 2763414 0.333091 
16087764 3289500 10535038 6034135 0.573692 
8936987 7201729 6321589 8728310 0.612343 
7346491 5037150 3648391 6627127 0.475161 
11151432 4400759 6507485 6459061 0.511738 
11899228 649003 11688531 1268828 0.158677 
19901474 14256727 16621690 18663950 1.297141 
10794395 8474999 6436507 10338207 0.733976 
5908235 3496213 5166998 4994480 0.340725 
5894428 3354459 808775 4879636 0.345895 
15335928 5671881 2296640 9443222 0.751803 
17322404 17177599 16244879 17321769 1.225958 
12114613 1768594 794829 3324054 0.367898 
2436840 957184 2076538 1566155 0.109392 
15235128 14676336 11106105 15212011 1.069296 
12067917 8148209 4663644 10332781 0.761231 
6043324 1435175 2133046 2495117 0.244837 
19512183 12006098 12930506 16740265 1.204412 
16689772 16674997 553852 16689753 1.183665 
12755590 1191115 911929 2179882 0.258616 
12502954 9671432 2429121 11904430 0.850534 
8338082 5233490 2686588 7408971 0.530041 
13110197 6939507 6588323 9920132 0.699620 
5228804 1125380 313427 2015492 0.191845 
10573622 912872 9307965 1727736 0.188761 
14887343 10686760 4964650 13871346 0.994649 
15354340 10983722 13825931 14103609 1.019035 
14613810 500415 10237471 974608 0.133609 
5425661 400477 460577 767068 0.075721 
6811305 2629170 3614321 4010167 0.335332 
10079444 832534 2077498 1598588 0.195757 
10503465 5625863 6293236 8046394 0.577716 
3408282 757748 454676 1299970 0.101146 
4167637 2266201 1259048 3579411 0.241405 
18962600 18028036 5864452 18900101 1.325229 
13911899 12405681 8021994 13783421 0.978308 
5947468 753399 152281 1438372 0.154079 
7487131 2532939 197799 3906441 0.349112 
16808933 5870708 744268 9880649 0.833170 
17370163 8977965 10559562 13737389 0.975746 
2548899 2500384 165261 2547962 0.180615 
12713773 10591341 9949178 12192590 0.869235 
